Game,Human-DQN,Human-DDQN,Human-DDQN-T,Human-DQN Prio (RB),Human-DDQN-T Prio,Human-DDQN-T Duel,Human-Noisy DQN,Human-Distrib. DQN,Human-A3C,Noop-DQN,Noop-DDQN,Noop-DDQN Prio,Noop-DDQN Duel,Noop-Distrib. DQN,Noop-Noisy DQN
Space Invaders,86.65678858,102.401934,190.7587928,118.0924901,692.5368479,453.1310926,118.1158855,482.4144116,1212.500975,102.6795213,158.0784574,501.9215426,417.5066489,446.8816489,132.8125
Star Gunner,591.9261692,592.8547163,653.0177783,659.5968746,580.4778621,1020.348771,352.9328502,751.4154682,1557.252859,559.3365324,620.4673482,583.9453369,923.9933236,716.0703109,353.0200292
Surround,24.50331126,13.90728477,76.82119205,29.13907285,58.2781457,90.72847682,43.70860927,94.0397351,0,26.66666667,43.03030303,73.33333333,87.27272727,98.18181818,40.60606061
Tennis,221.0884354,220.4081633,92.5170068,129.9319728,131.9727891,175.5102041,131.292517,299.3197279,102.7210884,241.6107383,6.711409396,159.7315436,193.9597315,318.1208054,159.7315436
Time Pilot,63.65166176,88.43079512,140.3029028,89.10391249,175.641565,140.008414,85.73832562,185.5910812,395.7088767,55.2397115,202.4183284,334.3232923,343.5723377,182.7322868,109.8430208
Tutankham,26.19426752,40.52547771,63.29617834,66.71974522,16.64012739,28.10509554,88.05732484,88.85350318,114.3312102,36.29961588,132.5224072,48.52752881,128.0409731,152.368758,140.9731114
Venture,11.55729677,5.582761998,0.2938295788,9.010773751,22.13516161,17.82566112,-0.7345739471,43.48677767,0.4897159647,13.72053872,8.249158249,72.64309764,41.83501684,93.18181818,0
Video Pinball*,-2784.553826,-2669.596125,-7220.513833,-4042.347586,-7367.330437,-1881.647925,-4602.043277,-9033.667297,-6468.147332,11945.96294,19436.46592,25821.54203,5423.732627,30601.57512,16822.4818
Wizard of Wor ,21.45522388,-17.29744136,143.8432836,51.9989339,177.1588486,166.5778252,106.4099147,293.7233475,438.1663113,51.04328127,165.2199833,233.9215452,173.876237,367.9742459,116.0963396
Yars Revenge,6.790879205,8.678816338,10.49907684,11.27900075,9.829976149,53.65859,8.783507051,14.87308989,12.44154951,29.12943827,16.7424831,25.94747883,90.37603916,26.2522337,12.58099604
Zaxxon,49.41014056,92.85893574,101.8825301,68.09738956,113.2781124,121.5988956,90.05396586,183.9231928,303.0496988,58.31546473,110.8272799,147.2245318,141.2513128,200.3653947,102.3706897
