Game,Difficulty,Discrimination,Human-DQN,Human-DDQN,Human-DDQN-T,Human-DQN Prio (RB),Human-DDQN-T Prio,Human-DDQN-T Duel,Human-Noisy DQN,Human-Distrib. DQN,Human-A3C,Noop-DQN,Noop-DDQN,Noop-DDQN Prio,Noop-DDQN Duel,Noop-Distrib. DQN,Noop-Reactor,Noop-Noisy DQN
Demon Attack ,-0.6806,3.3891,381.5860257,424.6467769,2151.649405,595.7798732,2256.221982,1734.874015,772.9015304,3389.961354,3496.679549,369.2726769,1781.898489,2155.181754,1867.130413,3400.3632,3079.100619,763.2737234
Double Dunk ,-0.36,1.8784,625,600,981.25,668.75,1168.75,950,937.5,768.75,993.75,387.0967742,422.5806452,754.8387097,603.2258065,477.4193548,967.7419355,541.9354839
Enduro,0.8585,2.103,86.19221411,67.84671533,157.9562044,163.9172749,239.1970803,262.676399,134.2214112,267.0559611,-0.08515815085,235.4651163,391.4082687,696.0594315,729.3927649,729.748062,720.3165375,364.7286822
Fishing Derby ,1.29,3.1237,91.84914842,89.6593674,97.68856448,98.05352798,104.9878345,88.80778589,89.29440389,87.83454988,116.6666667,89.30041152,110.2880658,125.4115226,142.0781893,103.7037037,118.2098765,102.2633745
Freeway,0.6037,1.1638,105.0980392,102.745098,112.5490196,110.9803922,109.0196078,0.3921568627,105.8823529,112.5490196,0,104.0540541,112.5,111.1486486,0,113.5135135,106.0810811,108.1081081
Frostbite ,2.7459,147.1717,10.38826032,4.639299874,33.40344261,5.374238468,69.23411662,54.78193598,8.519485543,66.42249299,3.000193405,17.14834418,37.89638859,78.60789733,107.9113776,90.70682468,186.8213968,12.14108389
Gopher,-0.674,23.2702,385.2692868,412.0718098,727.9475983,835.9146046,2791.547792,960.7666181,624.98787,1335.676856,474.1775837,412.9010371,706.7558399,2366.957449,749.3069691,1385.257342,3338.058544,719.7004943
H.E.R.O,9.1425,0.4492,55.28894312,56.72551743,54.87507781,55.9402451,78.0164969,56.17520848,3.602359527,111.1908521,127.3081029,78.47186287,77.22833118,105.6229787,80.00970246,132.737306,139.534282,16.27627749
Ice Hockey ,2.51,2.0126,79.41176471,59.80392157,70.58823529,57.84313725,85.29411765,82.35294118,71.56862745,94.11764706,67.64705882,76.85950413,70.24793388,95.04132231,96.69421488,103.3057851,120.661157,75.20661157
Kangaroo,0.8703,1.1254,166.5782493,228.7987874,420.7654415,339.2572944,384.2743463,387.7984085,279.082986,358.298598,-0.227358848,241.6024137,433.7914851,484.0764331,496.2118672,431.0090513,349.7318136,404.4585987
Kung-Fu Master,-0.2213,2.0463,100.4647802,109.6871521,145.9907825,97.04239655,151.0535669,117.0933661,134.830199,163.9717226,139.2143652,114.7833437,131.025892,192.2413026,151.4191654,190.1904084,264.8878904,150.5516505
Name This Game ,-0.0082,3.7408,98.86692286,121.3046234,142.8727071,138.4790618,199.8395468,186.9438612,107.7334495,190.850204,172.8992512,331.6420923,466.6535852,624.9425352,542.6248809,599.3889107,426.9159612,338.6275719
Pong,-0.0444,34.1503,107.4626866,106.5671642,110.7462687,109.5522388,110.1492537,109.8507463,107.4626866,110.1492537,70.44776119,134,138.6666667,138,139,138.3333333,138,139
Q*Bert,1.3986,1.1885,76.36111578,88.47504621,91.05864561,105.5074777,93.211225,117.5667955,75.56377079,124.793312,125.7418921,97.45920202,112.2901791,140.2359474,143.3771471,126.3409349,171.4876872,113.7031547
Road Runner,-0.6739,22.9443,524.3336328,654.1479485,643.246481,853.6537886,850.4043127,873.7496256,526.7520216,836.8673255,509.3740641,504.6594753,563.1646135,801.3467799,887.3747367,808.7636433,908.3615242,531.939746
Robotank,-6.6632,0.2757,866.1538462,763.0769231,872.3076923,752.3076923,815.3846154,916.9230769,746.1538462,729.2307692,467.6923077,636.0824742,648.4536082,581.443299,650.5154639,536.0824742,683.5051546,528.8659794
Seaquest,2.8701,146.3442,9.950684277,9.907660475,35.5195062,28.93114451,96.69462799,92.37956444,5.316050863,7.609741783,5.32177079,28.79743059,81.45881394,220.492602,249.5117731,23.29766924,41.55099037,12.06646249
Space Invaders,0.1642,2.8756,86.65678858,102.401934,190.7587928,118.0924901,692.5368479,453.1310926,118.1158855,482.4144116,1212.500975,102.6795213,158.0784574,501.9215426,417.5066489,446.8816489,152.9654255,132.8125
Star Gunner,-0.3252,5.0075,591.9261692,592.8547163,653.0177783,659.5968746,580.4778621,1020.348771,352.9328502,751.4154682,1557.252859,559.3365324,620.4673482,583.9453369,923.9933236,716.0703109,723.701231,353.0200292
Tennis,10.4861,-0.1116,221.0884354,220.4081633,92.5170068,129.9319728,131.9727891,175.5102041,131.292517,299.3197279,102.7210884,241.6107383,6.711409396,159.7315436,193.9597315,318.1208054,316.1073826,159.7315436
Time Pilot,0.608,1.3447,63.65166176,88.43079512,140.3029028,89.10391249,175.641565,140.008414,85.73832562,185.5910812,395.7088767,55.2397115,202.4183284,334.3232923,343.5723377,182.7322868,671.743742,109.8430208
Tutankham,1.9818,0.6103,26.19426752,40.52547771,63.29617834,66.71974522,16.64012739,28.10509554,88.05732484,88.85350318,114.3312102,36.29961588,132.5224072,48.52752881,128.0409731,152.368758,167.2215109,140.9731114
Venture,-4.9576,-0.5809,11.55729677,5.582761998,0.2938295788,9.010773751,22.13516161,17.82566112,-0.7345739471,43.48677767,0.4897159647,13.72053872,8.249158249,72.64309764,41.83501684,93.18181818,134.469697,0
Video Pinball*,3.1605,-0.2958,2784.553826,2669.596125,7220.513833,4042.347586,7367.330437,1881.647925,4602.043277,9033.667297,6468.147332,11945.96294,19436.46592,25821.54203,5423.732627,30601.57512,29987.36598,16822.4818
Wizard of Wor ,0.5086,1.9847,21.45522388,-17.29744136,143.8432836,51.9989339,177.1588486,166.5778252,106.4099147,293.7233475,438.1663113,51.04328127,165.2199833,233.9215452,173.876237,367.9742459,300.6319304,116.0963396
Zaxxon,0.8755,2.7558,49.41014056,92.85893574,101.8825301,68.09738956,113.2781124,121.5988956,90.05396586,183.9231928,303.0496988,58.31546473,110.8272799,147.2245318,141.2513128,200.3653947,275.5010502,102.3706897
